id,created_at,rating,score,sample_url,sample_width,sample_height,preview_url,tags
1,1264803292,s,37,"//safebooru.org/samples/1/sample_e7b3dc281d431f7a9f4ab81986d2de9a20d36d2e.jpg",850,638,"//safebooru.org/thumbnails/1/thumbnail_e7b3dc281d431f7a9f4ab81986d2de9a20d36d2e.jpg","1girl bag black_hair blush bob_cut bowieknife breath coat girls gloves jacket landscape miniskirt mountain necktie original pantyhose peacoat purse scarf short_hair skirt snow solo toggles uniform"
2,1264803292,s,12,"//safebooru.org/samples/1/sample_27ff11b17a2c3f83dcb6d1e10b8b3191b4ffb129.jpg",850,1208,"//safebooru.org/thumbnails/1/thumbnail_27ff11b17a2c3f83dcb6d1e10b8b3191b4ffb129.jpg","barding black cape celty_sturluson dress dullahan durarara!! headless highres horse horseback_riding janemere smoke solo"
3,1264803298,s,8,"//safebooru.org/samples/1/sample_ebd16eb1d154725d200d66025da7c245246b47d9.png",850,599,"//safebooru.org/thumbnails/1/thumbnail_ebd16eb1d154725d200d66025da7c245246b47d9.png","blue_eyes blush brown_hair original scan takoyaki_(roast) thigh-highs translation_request twintails"
4,1264803299,s,5,"//safebooru.org/samples/1/sample_6fbb9a4b9099eaed05a7245dc68ad376dd60df70.png",850,519,"//safebooru.org/thumbnails/1/thumbnail_6fbb9a4b9099eaed05a7245dc68ad376dd60df70.png","game_cg hagall_valkyr mecha_musume shirogane_no_soleil skyfish sword tsurugi_hagane wings"
6,1264803304,s,11,"//safebooru.org/samples/1/sample_113cb63dc5412ca1ecf59d82bddedcd4d5aa6a23.jpg",850,601,"//safebooru.org/thumbnails/1/thumbnail_113cb63dc5412ca1ecf59d82bddedcd4d5aa6a23.jpg","blush idolmaster kisaragi_chihaya komi_zumiko panda_ga_ippiki scan"
7,1264803305,s,2,"//safebooru.org/samples/1/sample_e7fbb7b5e3d0acea7a8ab37260e4570e317d28ab.png",850,531,"//safebooru.org/thumbnails/1/thumbnail_e7fbb7b5e3d0acea7a8ab37260e4570e317d28ab.png","blonde_hair detached_sleeves gloves green_eyes hair_ribbon ribbon rpg seitokai_no_ichizon shiina_mafuyu solo vector"
8,1264803306,s,3,"//safebooru.org/samples/1/sample_b60156c722313685fd398b83208a57c138f9e0dc.jpg",850,638,"//safebooru.org/thumbnails/1/thumbnail_b60156c722313685fd398b83208a57c138f9e0dc.jpg","absolute_terror_field clouds dust electricity eva-02 light lighting mecha neon_genesis_evangelion rebuild_of_evangelion sky"
9,1264803306,s,4,"//safebooru.org/samples/1/sample_933e11fc0f99de8bff1aafd98953d5965e4234f7.png",850,378,"//safebooru.org/thumbnails/1/thumbnail_933e11fc0f99de8bff1aafd98953d5965e4234f7.png","armor cleavage game_cg hagall_valkyr shirogane_no_soleil skyfish tsurugi_hagane"
10,1264803308,s,17,"//safebooru.org/samples/1/sample_253c55b8e4f6872152c2e5d75d9b45cf5ffde017.jpg",850,567,"//safebooru.org/thumbnails/1/thumbnail_253c55b8e4f6872152c2e5d75d9b45cf5ffde017.jpg","bdsm bed blonde_hair bondage bow broken broken_glass canopy_bed chain clock dress drill_hair elly feet geike glass green_hair hair_bow hat head_tilt highres kazami_yuuka kazami_yuuka_(pc-98) kurumi_(touhou) long_hair nightcap nightgown pillow red_eyes ribbons short_hair touhou touhou_(pc-98) wings yellow_eyes"
11,1264803309,s,7,"//safebooru.org/samples/1/sample_24f0c579396f9870146ad476fe7bdc6a54cb6f52.jpg",850,601,"//safebooru.org/thumbnails/1/thumbnail_24f0c579396f9870146ad476fe7bdc6a54cb6f52.jpg","2_sing_4_u_(vocaloid) alternate_costume black_dress blue_eyes breasts cleavage curtains detached_sleeves dress gothic hair_ornament hair_over_one_eye hairband hijikini large_breasts long_hair megurine_luka necklace pink_hair portrait solo spotlight stockings thighhighs transparent vocaloid"
12,1264803309,s,8,"//safebooru.org/images/1/bb4b7c0d096e39f136cf83cacaec0bee47e8bbc5.png",1600,1200,"//safebooru.org/thumbnails/1/thumbnail_bb4b7c0d096e39f136cf83cacaec0bee47e8bbc5.png","bandaid game_cg kurushima_shiho seifuku shirogane_no_soleil skyfish thigh-highs tsurugi_hagane"
14,1264803312,s,9,"//safebooru.org/samples/1/sample_a11161f5d5da15b89586a083c4bacdb4d779f945.jpg",850,601,"//safebooru.org/thumbnails/1/thumbnail_a11161f5d5da15b89586a083c4bacdb4d779f945.jpg","dress flower height_difference military military_uniform nardack original panda petals rose uniform"
15,1264803312,s,27,"//safebooru.org/samples/1/sample_05a8d8706fdfd49e5e3b431c961a826d7b3ea9f6.jpg",850,606,"//safebooru.org/thumbnails/1/thumbnail_05a8d8706fdfd49e5e3b431c961a826d7b3ea9f6.jpg","ahoge bad_id blush bottle brown_hair can cellphone chair chinese closed_eyes coffee computer computer_keyboard drawing drink drool drooling highres long_hair musical_note nescafe office_chair original painttool_sai pantyhose phone photoshop product_placement recursion reflection saliva sayori sayori_(character) shirt short_hair sitting sleeping smile solo striped striped_shirt stylus tablet trash venus_symbol wacom water_bottle windows"
16,1264803313,s,5,"//safebooru.org/samples/1/sample_b2ae5d284b27716fb20199523d55e1c5348ff5c2.jpg",850,531,"//safebooru.org/thumbnails/1/thumbnail_b2ae5d284b27716fb20199523d55e1c5348ff5c2.jpg","2girls absurdres arms_behind_back bad_photoshop blonde_hair dark forest from_behind glowing_eyes handcuffs hyuuga_hinata looking_back naruto photoshop purple_hair stripes transparent zettai_ryouiki"
17,1264803314,s,5,"//safebooru.org/samples/1/sample_1c297276ee2b51683d9a06736bad3b22f7ce44a5.jpg",850,531,"//safebooru.org/thumbnails/1/thumbnail_1c297276ee2b51683d9a06736bad3b22f7ce44a5.jpg","bird brown_hair clamp feather field grass hanato_kobato kobato long_hair wind"
18,1264803315,s,4,"//safebooru.org/samples/1/sample_20799c438b8aa704a2ee1fb7a4087b8f6cd69dd5.jpg",850,599,"//safebooru.org/thumbnails/1/thumbnail_20799c438b8aa704a2ee1fb7a4087b8f6cd69dd5.jpg","brown_eyes brown_hair checkered dress glasses highres hitoha kara_no_kyoukai light_smile long_hair mechanical_pencil open_mouth pen pencil red_eyes red_hair school_uniform simple_background solo vector"
19,1264803316,s,1,"//safebooru.org/images/1/cffd2b6ec58799fcb36b971597888c8c493bbffa.png",2560,1600,"//safebooru.org/thumbnails/1/thumbnail_cffd2b6ec58799fcb36b971597888c8c493bbffa.png","brown_eyes brown_hair kimi_ni_todoke smile sweat vector yano_ayane yoshida_chizuru"
20,1264803318,s,3,"//safebooru.org/samples/1/sample_07fde70836fbc557b60c8b7687d26733abe82acc.jpg",850,531,"//safebooru.org/thumbnails/1/thumbnail_07fde70836fbc557b60c8b7687d26733abe82acc.jpg","bangs black_hair blush brown_eyes fence hime_cut kimi_ni_todoke kuronuma_sawako school_uniform vector"
21,1264803319,s,6,"//safebooru.org/images/1/78eccf5b83a55e5a1ec7257d8dc748382b2bb44a.png",1920,1200,"//safebooru.org/thumbnails/1/thumbnail_78eccf5b83a55e5a1ec7257d8dc748382b2bb44a.png","black_hair kimi_ni_todoke kuronuma_sawako open_mouth solo vector"
22,1264803320,s,1,"//safebooru.org/samples/1/sample_05af79edf50b7995fd74528aca6762f940e4194c.jpg",850,531,"//safebooru.org/thumbnails/1/thumbnail_05af79edf50b7995fd74528aca6762f940e4194c.jpg","arf fate_testarossa mahou_shoujo_lyrical_nanoha mahou_shoujo_lyrical_nanoha_the_movie_1st pizza takamachi_nanoha yuuno_scrya"
23,1264803321,s,2,"//safebooru.org/samples/1/sample_0b4d5be1648cd3d43b70f7148fb9df439a862b72.jpg",850,604,"//safebooru.org/thumbnails/1/thumbnail_0b4d5be1648cd3d43b70f7148fb9df439a862b72.jpg","baka_to_test_to_shoukanjuu himeji_mizuki kinoshita_hideyoshi scan shimada_hazuki shimada_minami tsuchiya_kouta yoshii_akihisa"
25,1264803322,s,2,"//safebooru.org/images/1/fda5e09fb278f1616f4fc75252b57c548a3475bb.jpg",1000,1250,"//safebooru.org/thumbnails/1/thumbnail_fda5e09fb278f1616f4fc75252b57c548a3475bb.jpg","alternate_costume animal_ears apron blush duster enmaided grey_hair highres jewelry maid mouse_ears mouse_tail nazrin pendant red_eyes shichinose short_hair sweatdrop tail touhou translated"
26,1264803322,s,2,"//safebooru.org/samples/1/sample_1e6171508a8af6863e044d85264395524ba4636f.jpg",850,638,"//safebooru.org/thumbnails/1/thumbnail_1e6171508a8af6863e044d85264395524ba4636f.jpg","asuku_san itsuka_todoku_anosorani long_hair moekibara_fumitake umbrella violet_eyes"
27,1264803323,s,5,"//safebooru.org/images/1/575bb730777982cade89ba34691ac8d0a9acd450.jpg",1062,1500,"//safebooru.org/thumbnails/1/thumbnail_575bb730777982cade89ba34691ac8d0a9acd450.jpg","akiyama_mio bare_shoulders bass_guitar black_eyes black_hair blush bow dress fender flower guitar hair_bow highres instrument jazz_bass k-on! kamishiro_ryuu long_hair solo twintails"
29,1264803323,s,0,"//safebooru.org/images/1/87d1d2498469dd0cda6b0949a1dd87557fc7457e.png",1280,960,"//safebooru.org/thumbnails/1/thumbnail_87d1d2498469dd0cda6b0949a1dd87557fc7457e.png","2girls blue_eyes canvas_2 green_eyes housen_elis hug hugging kikyou_kiri scarf school_uniform snow tree"
30,1264803324,s,1,"//safebooru.org/samples/1/sample_742f8a5ce0101f0e0f0624f6c44a99dc55fd4fa8.jpg",850,638,"//safebooru.org/thumbnails/1/thumbnail_742f8a5ce0101f0e0f0624f6c44a99dc55fd4fa8.jpg","brown_eyes festa!!_-hyper_girls_pop- gun hagiwara_onsen japanese_clothes long_hair miko purple_hair"
31,1264803325,s,3,"//safebooru.org/images/1/447354adc8c98d2156cc31e988f5d0ce0b3f89ae.png",1280,720,"//safebooru.org/thumbnails/1/thumbnail_447354adc8c98d2156cc31e988f5d0ce0b3f89ae.png","bare_shoulders blue_eyes bodysuit elbow_gloves elf gloves large_breasts leotard white_hair"
32,1264803325,s,7,"//safebooru.org/samples/1/sample_b6fc3d3f4e5390115824e522f60fa30c9d248908.jpg",850,680,"//safebooru.org/thumbnails/1/thumbnail_b6fc3d3f4e5390115824e522f60fa30c9d248908.jpg","1girl animal_ears anthropomorphization blonde_hair braid breasts bunny_ears bunny_tail cleavage long_hair megane nardack rabbit_ears red_eyes single_braid solo tail white_rabbit"
33,1264803325,s,1,"//safebooru.org/images/1/60b0ce00aad73bdf5c6d695ff5059371f0b3b406.jpg",1024,768,"//safebooru.org/thumbnails/1/thumbnail_60b0ce00aad73bdf5c6d695ff5059371f0b3b406.jpg","furude_rika higurashi_no_naku_koro_ni houjou_satoko ryuuguu_rena sonozaki_mion sonozaki_shion"
34,1264803326,s,4,"//safebooru.org/images/1/c1269bd4eb7a2d91aed9948627fa3192017bc05e.jpg",1000,1043,"//safebooru.org/thumbnails/1/thumbnail_c1269bd4eb7a2d91aed9948627fa3192017bc05e.jpg","aerith_gainsborough blush bracelet brown_hair character_name dress fang final_fantasy final_fantasy_vii flower green_eyes hair_ornament happy_birthday jewelry kieta solo"
35,1264803326,s,0,"//safebooru.org/samples/1/sample_2e062222a26640d571f03dfc9651860de33d468d.jpg",850,531,"//safebooru.org/thumbnails/1/thumbnail_2e062222a26640d571f03dfc9651860de33d468d.jpg","furude_rika higurashi_no_naku_koro_ni japanese_clothes long_hair violet_eyes"
36,1264803328,s,0,"//safebooru.org/samples/1/sample_e84d217fa08b995f3b6d3f506be7d2c2dde06025.jpg",850,531,"//safebooru.org/thumbnails/1/thumbnail_e84d217fa08b995f3b6d3f506be7d2c2dde06025.jpg","grace_o'connor macross macross_frontier macross_frontier:_itsuwari_no_utahime official_art saotome_alto sheryl_nome"
37,1264803329,s,2,"//safebooru.org/samples/1/sample_b569fcb06b9893b855d7bd4f22a415502aa98b71.jpg",850,1198,"//safebooru.org/thumbnails/1/thumbnail_b569fcb06b9893b855d7bd4f22a415502aa98b71.jpg","kyon megane nagato_yuki seifuku suzumiya_haruhi_no_yuuutsu"
